,user_id,REGION,TENURE,MONTANT,FREQUENCE_RECH,REVENUE,ARPU_SEGMENT,FREQUENCE,DATA_VOLUME,ON_NET,ORANGE,TIGO,ZONE1,ZONE2,MRG,REGULARITY,TOP_PACK,FREQ_TOP_PACK,CHURN
518334,3d9c61ecce1edf02a8963aa492517cbb73eac1ab,,K > 24 month,3100.0,3.0,3140.0,1047.0,7.0,,413.0,25.0,7.0,,,NO,12,MIXT:500F= 2500F on net _2500F off net;2d,2.0,0
295068,2329bbe5b6bc46a15b5db7041637a10f617ba62c,,H 15-18 month,1000.0,1.0,,,,,,,,,,NO,1,,,1
689826,51f89647bf599878f8d418476e13dcad5339f5f7,SAINT-LOUIS,K > 24 month,13250.0,55.0,13601.0,4534.0,57.0,3402.0,169.0,147.0,56.0,,0.0,NO,59,Mixt 250F=Unlimited_call24H,43.0,0
787184,5d999c020c85716d7749f0c34fd772203c3385e7,DAKAR,K > 24 month,4000.0,5.0,3699.0,1233.0,6.0,18.0,11.0,112.0,,,,NO,30,All-net 1000=5000;5d,2.0,0
687018,51a31aee09c595d8549538f396035e10f124463d,KAFFRINE,K > 24 month,3600.0,14.0,3600.0,1200.0,16.0,0.0,128.0,173.0,9.0,,,NO,42,On net 200F=Unlimited _call24H,10.0,0
450844,3599b56d57cd1ff2553df520685540bddd753892,,K > 24 month,,,,,,,,,,,,NO,2,,,0
1956571,e889f5b8b9bf97767b26fca69081cc826c1da4d1,DIOURBEL,K > 24 month,3000.0,3.0,3001.0,1000.0,5.0,6013.0,1.0,2.0,13.0,,,NO,40,"Data:1000F=2GB,30d",3.0,0
641840,4c46f0f5484c5869eae29b12db3002b852705604,THIES,K > 24 month,1700.0,7.0,1452.0,484.0,8.0,,3.0,2.0,2.0,,1.0,NO,44,,,0
1175688,8bd56aa3dd544a2cd331868771777ad4a76ef807,DAKAR,K > 24 month,7500.0,8.0,7500.0,2500.0,8.0,,637.0,18.0,13.0,,,NO,57,On-net 1000F=10MilF;10d,7.0,0
1172174,8b6dd5cda8b891612278bf28bb9a6f03d76ff893,,K > 24 month,2000.0,5.0,1996.0,665.0,6.0,,48.0,12.0,11.0,,,NO,23,New_YAKALMA_4_ALL,1.0,0
1539113,b6e1aa0292760d38d07c5d0af074bf707109dfd1,SAINT-LOUIS,K > 24 month,200.0,1.0,198.0,66.0,1.0,,,2.0,,,,NO,4,,,0
685180,516be70f1c5c1167f6ac951b00beadf361d7e39f,LOUGA,K > 24 month,3000.0,5.0,3000.0,1000.0,6.0,1492.0,20.0,58.0,7.0,,,NO,50,All-net 500F=2000F;5d,4.0,0
411730,30f607233f0f5a4c02ce86131ec26e567b600773,THIES,K > 24 month,500.0,1.0,585.0,195.0,3.0,,13.0,3.0,,,,NO,48,,,0
950221,71050f8c182e558a5484ebf885f97d6c2cbe48a8,,K > 24 month,,,,,,93.0,2.0,19.0,2.0,,,NO,12,,,0
611500,48ac74f4e5e5251fe918d79e9be7b4e593295e00,,K > 24 month,1500.0,3.0,1500.0,500.0,3.0,0.0,3.0,29.0,3.0,,,NO,4,All-net 500F=2000F;5d,3.0,1
130290,0f8ff8eed626992e2286fa0db80e82912055e89d,DAKAR,K > 24 month,,,,,,,,,,,,NO,19,,,0
1203297,8f198a7f3ae9a2afad649852277f10e8ed3adb1a,,K > 24 month,,,,,,,,,,,,NO,1,,,1
1931803,e5975200eb218cdb310d094e335a178729a10d37,,K > 24 month,,,8.0,3.0,2.0,,,,,,,NO,6,,,1
381156,2d51463245a48ebf048629d5bdc5836ac98b0ff7,DIOURBEL,K > 24 month,6200.0,13.0,6263.0,2088.0,17.0,,264.0,54.0,34.0,,,NO,53,All-net 500F=2000F;5d,10.0,0
896759,6aa97ec3e36069c8ef675d7c431400c14535accd,,H 15-18 month,,,,,,,,,,,,NO,1,,,0
1572744,bae4292e89ee3e715a56a6668b5ff67b1383df89,DAKAR,K > 24 month,2300.0,7.0,2564.0,855.0,11.0,3875.0,1.0,15.0,,,,NO,24,"Data:490F=1GB,7d",3.0,0
181004,15930bc3c01cf37b8e167975b05b2571cdd27054,,K > 24 month,12100.0,18.0,13100.0,4367.0,17.0,0.0,913.0,690.0,59.0,,,NO,28,Jokko_Daily,23.0,0
412609,31110cd1c3c26282cc3a2d65b232e821111b6727,SAINT-LOUIS,K > 24 month,,,,,,,,,,,,NO,60,,,0
1291935,99959d003caf1d22e5254b9c5c3fcfdd36e2f7be,,K > 24 month,200.0,1.0,61.0,20.0,1.0,,,,,,,NO,1,,,1
74400,08e8c3c64380d0ab36b8f5e032a6506d1d31baf7,DAKAR,I 18-21 month,2500.0,5.0,3000.0,1000.0,8.0,6629.0,7.0,14.0,0.0,,,NO,24,"Data:490F=1GB,7d",6.0,0
153854,125aedba0e94a8acbe3ebe2a9ecb97fc9ecb5da1,,K > 24 month,,,,,,,,,,,,NO,1,,,0
2040197,f27987996a3dcec1b82ed28ff6329cc070371633,DIOURBEL,K > 24 month,,,,,,115.0,,,,,,NO,8,,,0
551926,4198b059f96fbd157c02c36f661f6033c3479e19,,K > 24 month,,,,,,,,,,,,NO,6,,,1
733497,572e9e0eee95091607da7c9e5ef8b7a705bac4a4,KAFFRINE,I 18-21 month,,,,,,0.0,,,,,,NO,46,,,0
1418194,a89bd65228823a80fa4df42ff497161358c6f660,,K > 24 month,,,500.0,167.0,1.0,,1.0,1.0,4.0,,,NO,12,All-net 500F=2000F;5d,1.0,1
449470,356fe9703c3fb8a643ce02e4290000572c7aa36b,DAKAR,K > 24 month,13500.0,48.0,14101.0,4700.0,51.0,13687.0,19.0,70.0,7.0,1.0,,NO,62,"Data: 200 F=100MB,24H",33.0,0
1648221,c3d645d2a93da298f38ac9b109e6912e218b5b4c,KAOLACK,K > 24 month,7100.0,25.0,7912.0,2637.0,33.0,3642.0,44.0,93.0,2.0,,,NO,46,"Data: 200 F=100MB,24H",5.0,0
1675606,c71faa58fe49a6a3c9584509770b238629633eed,,K > 24 month,13600.0,32.0,15107.0,5036.0,34.0,560.0,4517.0,37.0,,,,NO,56,On-net 500F_FNF;3d,23.0,0
1951334,e7ebfb91dec4db5d2b1dd715e3ba2ff82cb69e15,SAINT-LOUIS,K > 24 month,5300.0,34.0,5500.0,1833.0,36.0,7419.0,19.0,43.0,2.0,,,NO,52,"Data: 100 F=40MB,24H",30.0,0
1078930,804ec951495d6e7586abe4c5d98e027b8393b942,,K > 24 month,,,,,,,,,,,,NO,2,,,1
1686516,c869ae0dbfc890ca684cad0e62cd9cd2abecdc69,,K > 24 month,,,,,,,,,,,,NO,4,,,0
1966934,e9c2856584eaaead884c4862253d605065a1cd9e,SAINT-LOUIS,K > 24 month,7900.0,20.0,7600.0,2533.0,23.0,0.0,1465.0,54.0,,,,NO,59,On net 200F=Unlimited _call24H,10.0,0
1091760,81d99f18329110f049626a6ef999d92a11b21ce8,,K > 24 month,,,,,,,,,,,,NO,2,,,1
1124146,85b78435f8665511d157fc77ca91eef361db0ba3,DAKAR,K > 24 month,6000.0,6.0,6002.0,2001.0,10.0,13575.0,0.0,0.0,0.0,,,NO,59,"Data:1000F=2GB,30d",6.0,0
380107,2d30e42fdb90273fa2ca16cd3646f5e407d15b87,KAOLACK,K > 24 month,,,,,,,,,,,,NO,2,,,0
520844,3de773b80f95679acaa938575d8b0400a31eb97c,LOUGA,K > 24 month,2000.0,4.0,2000.0,667.0,4.0,0.0,69.0,26.0,36.0,,,NO,47,All-net 500F=2000F;5d,4.0,0
464605,373c7ce174c9c5e025a4ab4e21d66f30ea06bb9a,KAFFRINE,H 15-18 month,,,,,,0.0,,,,,,NO,9,,,0
1065624,7eb7cb8aaf73a523d07e18fbdf7449b3652a0e6d,DAKAR,K > 24 month,12700.0,28.0,12958.0,4319.0,66.0,10386.0,1.0,10.0,,,6.0,NO,58,"Data: 100 F=40MB,24H",98.0,0
1491701,b1495dcc3f60fb13e8ee2b5999b83bd746485887,THIES,K > 24 month,,,,,,,6.0,,,,,NO,1,,,0
951071,711e5f47030ee60ec04d1515184bed9000ede8b5,,K > 24 month,4200.0,10.0,4700.0,1567.0,12.0,0.0,89.0,116.0,3.0,,,NO,38,MIXT:500F= 2500F on net _2500F off net;2d,8.0,0
1422450,a91ba3c6c2016d93a8c9d731d01942b4dde9dcf0,,K > 24 month,,,,,,,,,,,,NO,3,,,0
389690,2e542e4098206764f48aeaba2ebecc1c99905f66,DAKAR,K > 24 month,15000.0,10.0,20500.0,6833.0,18.0,37376.0,768.0,427.0,36.0,20.0,,NO,62,"Data:1000F=5GB,7d",6.0,0
894668,6a6c52b43a5a92f2201c19a2df86544bc6e701d9,,K > 24 month,3250.0,9.0,3250.0,1083.0,9.0,2645.0,4.0,2.0,,,,NO,58,,,0
190766,16be86e58cf7403b07f442ea6169f097c654e390,,K > 24 month,,,,,,,,,,,,NO,26,,,0
